Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90,Clearances per 90
- - -,Wnt,Alberto Fabbri,ST (C),Genoa,,Italy (Serie A),-,"£3,900 p/w",30/6/2032,ITA,,Trained in nation (0-21),177 cm,77 kg,Right,19,Resolute,Scouting Required,£950K - £2M,0 (8),145,1,1,-,-0.14,0.86,-0.14,0.43,,,0.2,-1,0,0.5,5.58,0 (8),-,145,38.83,6.93,1,0.62,8,2,25%,4.97,1.24,0,0,-,2,0.86,1,0.89,1,0.62,5,3.1,68,42.21,58,36,85%,1,0,0%,1,0.62,3,23.8km,13,8.07,5,3.1,38%,0,1,0.62,100%,2,0,0,1,0.62,3,-,-,-,-,-,-,-,-,1,0,-,0,8,,1,14.772,1.86
- - -,,Maurizio Punzo,"AM (RC), ST (C)",Benevento,,Italy (Serie A),-,"£3,600 p/w",30/6/2031,ITA,,Trained in nation (0-21),173 cm,67 kg,Right,21,Realist,Scouting Required,£375K - £1.1M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Fousséïny Dembélé,M/AM (C),OGC Nice,,France (Ligue 1 Uber Eats),-,"£5,250 p/w",30/6/2030,FRA,MLI,-,181 cm,74 kg,Left,19,Fairly Sporting,Scouting Required,£14.5M - £17.5M,3 (3),266,0,0,-,0.39,0.39,0.39,0.13,,,,1,0,0.667,3.45,3 (3),3,266,44.33,6.48,0,-,3,0,0%,1.02,0,0,0,-,1,0.39,0,-,0,-,0,-,168,56.84,150,50.75,89%,0,0,0%,0,-,1,42.4km,13,4.4,4,1.35,31%,0,2,0.68,50%,2,0,0,3,1.02,2,-,-,-,-,-,-,-,-,4,0,-,0,3,44.33,4,14.346,0.68
- - -,Ret,Alex Cairns,GK,Nottm Forest,,England (Premier Division),-,"£6,250 p/w",30/6/2029,ENG,,-,188 cm,71 kg,Left,36,Balanced,Scouting Required,£1.5K - £5K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Wnt,Alessio Abbonizio,"M (C), AM (LC)",Spezia,,Italy (Serie A),-,"£4,300 p/w",30/6/2032,ITA,,Trained in nation (0-21),181 cm,75 kg,Left,21,Light-Hearted,Scouting Required,£130K - £1.3M,0 (2),38,0,0,-,,,,,,,,1,0,3,,0 (2),-,38,19,6.8,0,-,0,-,-,-,-,0,0,-,1,0,0,-,0,-,0,-,34,-,33,-,97%,0,0,0%,0,-,0,6.4km,3,-,2,-,67%,0,3,7.11,100%,1,0,0,0,-,1,-,-,-,-,-,-,-,-,3,0,-,0,2,,3,15.158,2.37
- - -,Unh,Simone Ghidotti,GK,Fiorentina,,Italy (Serie A),-,"£11,750 p/w",30/6/2030,ITA,,Trained in nation (15-21),193 cm,73 kg,Right,29,Fairly Determined,Scouting Required,£16K - £150K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Wnt,Kaydoo Isaac,D (RC),Bournemouth,,England (Premier Division),-,"£4,900 p/w",30/6/2029,ENG,GRN,-,182 cm,80 kg,Right Only,23,Resolute,Scouting Required,£0 - £6K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Benoný Breki Andrésson,ST (C),Bologna,,Italy (Serie A),-,"£6,000 p/w",30/6/2029,ISL,,Trained in nation (15-21),175 cm,64 kg,Right,23,Balanced,Scouting Required,£14K - £130K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Inj,Nicolò Fabbri,"M (LC), AM (L)",Atalanta,,Italy (Serie A),-,£220 p/w,-,ITA,,Trained at club (15-21),182 cm,74 kg,Left Only,21,Fairly Loyal,Level-headed,£12K - £20K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Issa Coudert,AM (R),OGC Nice,,France (Ligue 1 Uber Eats),-,"£4,700 p/w",30/6/2031,FRA,,-,172 cm,64 kg,Right,18,Fairly Determined,Scouting Required,£24M - £30M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Wnt,Steve Ackroyd,"M (C), AM (RL)",Everton,,England (Premier Division),-,"£5,500 p/w",30/6/2029,ENG,,-,183 cm,78 kg,Left,22,Fairly Loyal,Scouting Required,£500 - £7K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Matteo Costa,D (C),Empoli,,Italy (Serie A),-,"£2,900 p/w",30/6/2030,ITA,,Trained in nation (0-21),181 cm,78 kg,Right,22,Resolute,Scouting Required,£120K - £1.2M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Lst,Antonio Troise,"DM, M/AM (C)",SPAL,,Italy (Serie A),£44K,"£3,900 p/w",30/6/2029,ITA,,Trained in nation (15-21),175 cm,69 kg,Either,24,Balanced,Scouting Required,£45K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,nEU,Mohamed Koné,D (C),SPAL,,Italy (Serie A),-,"£6,500 p/w",30/6/2032,CIV,,Trained in nation (0-21),195 cm,90 kg,Right,21,Fairly Professional,Scouting Required,£1.8M - £3.8M,2 (3),289,0,0,-,0.13,0.13,0.13,0.033,,,,2,0.2,1,29.28,2 (3),2,289,57.8,6.72,0,-,3,1,33%,0.93,0.31,0,0,-,0,0.13,0,-,0,-,0,-,138,42.98,132,41.11,96%,0,0,0%,0,-,0,34.1km,45,14.01,40,12.46,89%,1,4,1.25,80%,2,1,0,8,2.49,41,-,-,-,-,-,-,-,-,5,0,-,0,3,57.8,5,10.619,12.77
- - -,Lst,Valerio Crespi,ST (C),Bologna,,Italy (Serie A),£55K,"£7,500 p/w",30/6/2031,ITA,,Trained in nation (15-21),179 cm,72 kg,Right,24,Balanced,Scouting Required,£55K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Unh,David Berglin,"DM, M/AM (C)",Genoa,,Italy (Serie A),-,"£3,900 p/w",30/6/2030,SWE,,-,179 cm,73 kg,Either,23,Resolute,Scouting Required,£45K - £425K,0 (1),9,0,0,-,,,,,,,,0,,,,0 (1),-,9,9,-,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,10,-,8,-,80%,0,0,0%,0,-,0,1.3km,0,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,1,,,13,0.00
- - -,,Haydn Styles,"D/WB (R), M (C), AM (R)",Liverpool,,England (Premier Division),-,"£29,500 p/w",30/6/2031,ENG,IRL,-,178 cm,73 kg,Right,20,,Scouting Required,£14.5M - £23M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Ask,Tommaso Raineri,D (C),Spezia,,Italy (Serie A),£300K,"£3,900 p/w",30/6/2030,ITA,,Trained in nation (15-21),184 cm,79 kg,Right,23,Balanced,Scouting Required,£300K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Mohamed Meziane,M/AM (R),FC Metz,,France (Ligue 1 Uber Eats),-,"£3,600 p/w",30/6/2032,FRA,ALG,-,172 cm,68 kg,Right Only,19,Fairly Professional,Scouting Required,£120K - £1.2M,1 (4),123,0,0,-,0.03,0.03,0.03,0.015,,,,4,0.143,1.5,8.35,1 (4),1,123,36,6.5,0,-,1,0,0%,0.73,0,0,0,-,0,0.03,1,0.78,0,-,4,2.93,38,27.8,29,21.22,76%,12,5,41%,3,2.2,1,20.9km,8,5.85,3,2.2,38%,0,3,2.2,43%,5,1,0,3,2.2,3,-,-,-,-,-,-,-,-,7,0,-,0,4,24.6,7,15.293,2.20
- - -,Loa,Pietro Scamarcio,"D (C), DM, M (C)",Bologna,,Italy (Serie A),-,"£4,400 p/w",30/6/2033,ITA,,Trained in nation (0-21),183 cm,76 kg,Either,18,Fairly Professional,Scouting Required,£350K - £3.5M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,David Semedo,"AM (RC), ST (C)",Parma,,Italy (Serie A),-,"£5,000 p/w",30/6/2032,POR,,-,174 cm,66 kg,Right,21,Balanced,Scouting Required,£650K - £1.4M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Sammy Fonteneau,"DM, M (C)",Dijon FCO,,France (Ligue 1 Uber Eats),-,"£3,500 p/w",30/6/2032,FRA,,-,184 cm,79 kg,Left,21,Fairly Professional,Scouting Required,£350K - £3.5M,1 (5),158,0,0,-,,,,,,,,0,0,3,6.61,1 (5),1,158,26.33,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,104,59.24,96,54.68,92%,0,0,0%,0,-,1,23.9km,3,1.71,2,1.14,67%,0,6,3.42,86%,1,0,0,1,0.57,3,-,-,-,-,-,-,-,-,7,0,-,0,5,26.33,7,13.614,1.71
- - -,,Josh Feeney,D (C),Aston Villa,,England (Premier Division),-,"£5,750 p/w",30/6/2030,ENG,SCO,-,188 cm,82 kg,Right,24,Balanced,Scouting Required,£40K - £120K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Arkaitz,M (C),OM,,France (Ligue 1 Uber Eats),-,"£8,250 p/w",30/6/2033,ESP,,-,173 cm,73 kg,Right,21,Resilient,Scouting Required,£425K - £4.4M,0 (5),84,0,1,-,0.07,0.07,0.07,0.07,,,,-1,,,,0 (5),-,84,16.8,7.15,0,-,2,1,50%,2.14,1.07,0,0,-,0,0.07,2,2.14,1,1.07,3,3.21,78,83.57,72,77.14,92%,3,0,0%,0,-,1,15.8km,4,4.29,2,2.14,50%,0,-,-,-,0,0,0,0,-,2,-,-,-,-,-,-,-,-,0,0,-,0,5,,,16.929,2.14
- - -,,Yoël Armougom,"AM (R), ST (C)",Bordeaux,,France (Ligue 1 Uber Eats),-,"£2,700 p/w",30/6/2031,FRA,REU,-,180 cm,73 kg,Right Only,18,Fickle,Scouting Required,£9.6M - £14.5M,4 (11),566,8,1,-,-3.18,4.82,-3.18,0.766,0.146,1.66,0.1,-8,0,0.714,6.59,4 (11),4,566,87.57,7.09,8,1.27,33,19,58%,5.25,3.02,0,0,-,8,4.82,4,1.45,1,0.16,10,1.59,267,42.46,231,36.73,87%,18,3,16%,27,4.29,16,81.9km,63,10.02,33,5.25,52%,0,5,0.8,83%,8,0,0,5,0.8,5,-,-,-,-,-,-,-,-,6,0,-,1,11,37.73,6,13.023,0.80
- - -,,Tomás,D (C),R. Madrid,,Spain (First Division),-,"£26,000 p/w",30/6/2032,ESP,,-,197 cm,85 kg,Right,17,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Franco Zanardi,"AM (L), ST (C)",Napoli,,Italy (Serie A),-,"£2,200 p/w",30/6/2031,ITA,,Trained in nation (0-21),175 cm,70 kg,Left,21,Fairly Determined,Scouting Required,£14K - £130K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Mario Ferraro,"AM (RL), ST (C)",Torino,,Italy (Serie A),-,"£4,300 p/w",30/6/2031,ITA,,Trained in nation (0-21),192 cm,84 kg,Right,22,Balanced,Scouting Required,£1.7M - £3.5M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Alessandro Quadraccia,"M (C), AM (R), ST (C)",Benevento,,Italy (Serie A),-,"£2,700 p/w",30/6/2031,ITA,,Trained in nation (15-21),180 cm,78 kg,Right,21,Balanced,Scouting Required,£65K - £650K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,nEU,Tomás Durso,GK,Parma,,Italy (Serie A),-,"£8,000 p/w",30/6/2031,ARG,,-,185 cm,80 kg,Right,30,Determined,Scouting Required,£20K - £200K,8,720,0,0,0,,,,,,,,0,,0,,8,8,720,90,6.65,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.12,303,37.88,109,13.62,36%,-,-,-,0,-,0,32.8km,-,-,-,-,-,0,0,0,0%,0,0,0,1,0.12,-,23,2.88,0,-670%,32,3,14,-1%,2,0,-,0,,90,,4.1,
- - -,Loa,João Pedrosa,M/AM (C),Sampdoria,,Italy (Serie A),-,£850 p/w,30/6/2030,POR,,-,184 cm,76 kg,Right Only,22,,Scouting Required,£0 - £40K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Yth,Said Tahiri,"D (RC), DM, M (C)",Barcelona,,Spain (First Division),-,£55 p/w,30/6/2030,MAR,ESP,-,176 cm,69 kg,Right,18,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Simone Valente,"AM (RC), ST (C)",Torino,,Italy (Serie A),-,"£7,500 p/w",30/6/2031,ITA,,Trained in nation (0-21),176 cm,71 kg,Right,23,Resilient,Scouting Required,£350K - £3.6M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Marko Nuhanović,"M (RC), AM (R)",Benevento,,Italy (Serie A),-,£250 p/w,30/6/2029,BIH,CRO,-,173 cm,66 kg,Right Only,19,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Leonardo Guerrini,"M/AM (C), ST (C)",Fiorentina,,Italy (Serie A),-,"£9,750 p/w",30/6/2030,ITA,,Trained in nation (15-21),171 cm,68 kg,Right,22,Balanced,Scouting Required,£375K - £3.7M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Wnt,Fredrik Berger,"AM (LC), ST (C)",Napoli,,Italy (Serie A),-,"£6,500 p/w",30/6/2033,NOR,,-,191 cm,83 kg,Left,19,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Wnt,Sandro Corvaglia,D (RC),Napoli,,Italy (Serie A),-,"£3,200 p/w",30/6/2031,ITA,,Trained in nation (15-21),183 cm,80 kg,Right,21,Balanced,Scouting Required,£14K - £140K,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Charaf El Khattabi,AM (RL),FC Nantes,,France (Ligue 1 Uber Eats),-,"£5,500 p/w",30/6/2033,FRA,MAR,-,181 cm,74 kg,Right,20,Professional,Scouting Required,£275K - £2.7M,2,154,0,1,-,0.5,0.5,0.5,0.25,,,,3,,,,2,2,154,77,6.5,0,-,5,1,20%,2.92,0.58,0,0,-,1,0.5,1,0.58,1,0.58,1,0.58,67,39.16,52,30.39,78%,5,0,0%,1,0.58,1,24.2km,11,6.43,7,4.09,64%,0,-,-,-,4,1,0,4,2.34,4,-,-,-,-,-,-,-,-,0,0,-,0,,77,,14.143,2.34
- - -,,Conor Doherty,"M (R), AM (RC), ST (C)",Wolves,,England (Premier Division),-,"£10,000 p/w",30/6/2032,ENG,NIR,-,168 cm,68 kg,Left,19,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Thomas Bazzano,"AM (RC), ST (C)",Torino,,Italy (Serie A),-,"£4,200 p/w",30/6/2033,ITA,,Trained in nation (15-21),189 cm,79 kg,Left,21,Resolute,Scouting Required,£1.3M - £2.8M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Inj,Fernando Albert Putorti,"AM (RC), ST (C)",Napoli,,Italy (Serie A),-,"£4,900 p/w",30/6/2031,ITA,,Trained in nation (15-21),187 cm,81 kg,Left,20,Spirited,Scouting Required,£160K - £1.6M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Christian Arici,"AM (RC), ST (C)",Udinese,,Italy (Serie A),-,"£4,600 p/w",30/6/2031,ITA,,Trained in nation (0-21),176 cm,69 kg,Right,20,Balanced,Scouting Required,£2.5M - £5.2M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Jamie Williams,D (C),Aston Villa,,England (Premier Division),-,"£6,750 p/w",30/6/2030,WAL,ENG,-,184 cm,77 kg,Left,21,,Scouting Required,Unknown,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,,Youssef Pierre,D (LC),FC Metz,,France (Ligue 1 Uber Eats),-,"£7,500 p/w",30/6/2032,FRA,,-,186 cm,78 kg,Left Only,20,Resolute,Scouting Required,£1.8M - £3.7M,24 (6),"2,227",0,0,-,0.45,0.45,0.45,0.018,,,,22,0.105,1.334,26.16,24 (6),24,"2,227",163.69,6.69,0,-,8,1,13%,0.32,0.04,0,0,-,0,0.45,1,0.04,0,-,3,0.12,"1,277",51.61,"1,183",47.81,93%,4,0,0%,1,0.04,1,261.1km,360,14.55,298,12.04,83%,5,33,1.33,87%,23,4,0,45,1.82,286,-,-,-,-,-,-,-,-,38,0,-,1,6,74.23,38,10.552,11.56
- - -,,Ángel Guerrero,GK,Eibar,,Spain (First Division),-,"£11,250 p/w",30/6/2032,ESP,BAS,-,182 cm,73 kg,Either,23,Balanced,Scouting Required,£90K - £900K,0 (2),86,0,0,1,,,,,,,,-1,,,,0 (2),-,86,43,6.65,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,1.05,36,37.67,12,12.56,33%,-,-,-,0,-,1,4.4km,-,-,-,-,-,0,-,-,-,0,0,0,0,-,-,3,3.14,1,0%,3,0,7,-7%,0,0,-,0,2,,,4.605,
- - -,,Jeremy Jacquet,D (L),Udinese,,Italy (Serie A),-,"£8,250 p/w",30/6/2032,FRA,,-,174 cm,69 kg,Left Only,23,Fairly Professional,Scouting Required,£110K - £1.1M,-,-,-,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
- - -,Loa,Alessandro Agostini,D (RC),Roma,,Italy (Serie A),-,"£1,500 p/w",30/6/2032,ITA,,Trained in nation (15-21),183 cm,79 kg,Right,20,Mercenary,Scouting Required,£300K - £3M,0 (1),15,0,0,-,,,,,,,,0,,,,0 (1),-,15,15,6.5,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,7,-,7,-,100%,0,0,0%,0,-,0,3.1km,4,-,3,-,75%,0,-,-,-,0,0,0,0,-,3,-,-,-,-,-,-,-,-,0,0,-,0,1,,,18.6,18.00
- - -,,Fabio Adami,D (R),Monza,,Italy (Serie A),-,"£2,700 p/w",30/6/2032,ITA,,Trained in nation (0-21),179 cm,74 kg,Right,20,Spirited,Scouting Required,£120K - £1.2M,3 (1),288,0,1,-,0.03,0.03,0.03,0.008,,,,14,0.4,1,14.88,3 (1),3,288,72,6.2,0,-,1,1,100%,0.31,0.31,0,0,-,0,0.03,0,-,1,0.31,3,0.94,133,41.56,124,38.75,93%,14,4,28%,3,0.94,0,39.6km,21,6.56,12,3.75,57%,1,4,1.25,80%,14,2,0,6,1.88,19,-,-,-,-,-,-,-,-,5,0,-,0,1,72,5,12.375,5.94
