,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck C,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean Sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM
,Diogo Leite,D (C),Union Berlin,,Germany (Bundesliga),-,"£31,000 p/w",30/6/2028,POR,,-,190 cm,82 kg,Left,26,,Scouting Required,£10.5M - £16M,25,25,"2,225",187.5,6.82,1,0.04,11,3,27%,0.44,0.12,0,0,-,1,0.84,5,0.23,0,-,5,0.2,"1,691",68.4,"1,561",63.14,92%,5,0,-,3,0.12,8,284.2km,157,6.35,108,4.37,69%,4,37,1.5,79%,19,2,0,35,1.42,16,-,-,-,-,-,-,-,-,-,-,-,1
,André Franco,"M (C), AM (RLC)",Eintracht Frankfurt,,Germany (Bundesliga),-,"£23,500 p/w",30/6/2028,POR,,-,177 cm,69 kg,Left,26,,Scouting Required,£3.9M - £7.6M,3 (3),3,316,158,7.08,2,0.57,2,2,100%,0.57,0.57,0,0,-,2,0.99,3,2.36,1,0.28,9,2.56,87,24.78,77,21.93,89%,14,6,33%,6,1.71,4,48.7km,11,3.13,1,0.28,9%,0,14,3.99,74%,4,0,0,8,2.28,2,-,-,-,-,-,-,-,-,-,-,-,1
Inj,Zé Pedro,"D (C), WB (R)",Cagliari,,Italy (Serie A),-,"£13,250 p/w",30/6/2027,POR,,-,187 cm,80 kg,Right,27,,Scouting Required,£375K - £3.8M,1 (4),1,173,89,6.52,0,-,0,-,-,-,-,0,0,-,0,0,1,1.48,0,-,3,1.56,101,52.54,93,48.38,92%,2,2,-,0,-,0,23.7km,7,3.64,4,2.08,57%,2,3,1.56,60%,1,0,0,3,1.56,3,-,-,-,-,-,-,-,-,-,-,-,0
,Fali Candé,"D (LC), WB (L)",FC Metz,,France (Ligue 1 Uber Eats),-,"£10,500 p/w",30/6/2026,GNB,POR,-,184 cm,82 kg,Left Only,27,,Scouting Required,£8.4M - £10M,23,23,"1,982",176,6.85,0,-,5,0,0%,0.23,0,0,0,-,0,1.64,0,-,0,-,27,1.23,"1,376",62.48,"1,264",57.4,92%,135,12,-,5,0.23,3,252.8km,139,6.31,94,4.27,68%,5,27,1.23,90%,11,3,0,38,1.73,29,-,-,-,-,-,-,-,-,-,-,-,0
,Chiquinho,AM (RL),AS Monaco,Wolves,France (Ligue 1 Uber Eats),-,"£13,750 p/w",30/6/2026,CPV,POR,-,179 cm,72 kg,Right Only,25,,Scouting Required,£18.5M - £22M,0 (1),-,33,33,7,0,-,1,0,0%,-,-,0,0,-,0,0.01,0,-,0,-,0,-,13,-,11,-,85%,0,0,-,2,-,1,4.4km,1,-,1,-,100%,0,-,-,-,1,0,0,1,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Tiago Djaló,D (RLC),Leganés,Juventus,Spain (First Division),-,"£61,000 p/w",30/6/2026,POR,GNB,-,190 cm,85 kg,Right,24,,Scouting Required,£3.9M - £7.6M,17 (1),17,"1,493",172.53,6.8,0,-,8,2,25%,0.48,0.12,0,0,-,0,1.86,0,-,0,-,3,0.18,994,59.92,908,54.74,91%,4,2,50%,1,0.06,2,189.7km,130,7.84,90,5.43,69%,7,20,1.21,71%,14,5,0,31,1.87,13,-,-,-,-,-,-,-,-,-,-,-,0
,Fábio Vieira,"M (C), AM (RLC)",Arsenal,,England (Premier Division),-,"£130,000 p/w",30/6/2029,POR,,-,173 cm,64 kg,Left,24,Spirited,"Evasive, Reserved",£43M - £53M,11 (12),11,"1,057",142.08,7.32,5,0.43,38,11,29%,3.24,0.94,0,0,-,6,3.5,6,1.08,1,0.09,28,2.38,500,42.57,418,35.59,84%,84,18,23%,46,3.92,8,144.8km,38,3.24,7,0.6,18%,0,34,2.89,89%,11,0,0,18,1.53,11,-,-,-,-,-,-,-,-,-,-,-,1
,Vitinha,"DM, M (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£160,000 p/w",30/6/2029,POR,,-,172 cm,66 kg,Right,25,Spirited,"Evasive, Reserved",£171M - £224M,27,27,"2,175",165.28,7.01,2,0.08,28,9,32%,1.16,0.37,1,0,0%,2,3.73,4,0.24,2,0.08,33,1.37,"1,438",59.5,"1,297",53.67,90%,31,6,36%,25,1.03,21,316.8km,60,2.48,17,0.7,28%,0,46,1.9,71%,19,0,0,26,1.08,11,-,-,-,-,-,-,-,-,-,-,-,0
,Koffi Kouao,D/WB (R),FC Metz,,France (Ligue 1 Uber Eats),-,"£7,750 p/w",30/6/2026,CIV,GHA,-,173 cm,65 kg,Right,26,,Scouting Required,£2.4M - £4.9M,0 (5),-,103,20.6,6.65,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,0.87,1,0.87,56,48.93,49,42.82,88%,4,0,-,1,0.87,1,11.5km,6,5.24,4,3.5,67%,0,2,1.75,100%,2,0,0,2,1.75,0,-,-,-,-,-,-,-,-,-,-,-,0
ESC,Tiago Dantas,"DM, M/AM (C)",Everton,,England (Premier Division),-,"£20,000 p/w",30/6/2029,POR,,-,169 cm,58 kg,Right,24,,Scouting Required,£5.2M - £6.6M,3 (11),3,383,74.45,6.73,0,-,5,0,0%,1.17,0,0,0,-,0,0.62,2,0.75,2,0.47,8,1.88,198,46.53,180,42.3,91%,10,1,-,0,-,2,55.2km,12,2.82,1,0.23,8%,0,9,2.11,90%,2,0,0,7,1.64,3,-,-,-,-,-,-,-,-,-,-,-,0
,Matheus Nunes,"DM, M (C), AM (RC)",Man City,,England (Premier Division),-,"£130,000 p/w",30/6/2028,POR,BRA,-,184 cm,78 kg,Right,26,Professional,"Evasive, Unflappable",£37M - £56M,11 (21),11,"1,411",136.09,6.93,2,0.13,32,12,38%,2.04,0.77,0,0,-,1,4.23,2,2.19,2,0.13,20,1.28,719,45.86,640,40.82,89%,36,7,18%,28,1.79,8,204.1km,62,3.95,16,1.02,26%,0,24,1.53,73%,17,4,0,31,1.98,9,-,-,-,-,-,-,-,-,-,-,-,2
,Ali Al Musrati,"DM, M (C)",Newcastle,,England (Premier Division),-,"£82,000 p/w",30/6/2028,LBY,,-,193 cm,82 kg,Right,28,Professional,Evasive,£57M - £67M,19 (13),19,"1,780",157.95,6.98,2,0.1,13,4,31%,0.66,0.2,0,0,-,2,1.85,9,1.23,4,0.2,23,1.16,"1,058",53.49,961,48.59,91%,3,0,-,13,0.66,7,256.0km,72,3.64,41,2.07,57%,2,39,1.97,80%,27,2,0,39,1.97,13,-,-,-,-,-,-,-,-,-,-,-,2
,Jota Silva,"AM (RL), ST (C)",Nottm Forest,,England (Premier Division),-,"£45,000 p/w",30/6/2028,POR,,-,180 cm,72 kg,Right,25,,Scouting Required,£13.5M - £17M,27 (2),27,"2,167",125.63,6.76,3,0.12,29,10,34%,1.2,0.42,0,0,-,13,4.19,9,0.39,2,0.08,23,0.96,786,32.64,663,27.54,84%,71,14,19%,84,3.49,40,306.3km,108,4.49,23,0.96,21%,1,72,2.99,84%,40,1,0,35,1.45,17,-,-,-,-,-,-,-,-,-,-,-,2
,Samú,"DM, M (C)",Mallorca,,Spain (First Division),-,"£15,000 p/w",30/6/2028,POR,,-,183 cm,74 kg,Left,24,,Scouting Required,£17.5M - £27M,25,25,"2,063",156.35,6.9,2,0.09,12,3,25%,0.52,0.13,0,0,-,4,1.61,9,0.99,1,0.04,25,1.09,"1,312",57.24,"1,153",50.3,88%,11,0,-,12,0.52,13,295.1km,91,3.97,48,2.09,53%,3,47,2.05,76%,41,6,1,25,1.09,19,-,-,-,-,-,-,-,-,-,-,-,1
,Gonçalo Ramos,"AM (C), ST (C)",Paris SG,,France (Ligue 1 Uber Eats),-,"£92,000 p/w",30/6/2028,POR,,-,185 cm,80 kg,Right,23,Model Citizen,Reserved,£158M - £189M,22 (3),22,"1,903",228.08,7.12,12,0.57,75,40,53%,3.55,1.89,1,1,100%,21,12.03,9,0.93,1,0.05,21,0.99,455,21.52,399,18.87,88%,15,2,13%,20,0.95,47,261.2km,165,7.8,85,4.02,52%,0,31,1.47,84%,29,0,0,23,1.09,7,-,-,-,-,-,-,-,-,-,-,-,2
,Vitinha,ST (C),Genoa,,Italy (Serie A),-,"£24,500 p/w",30/6/2028,POR,,-,183 cm,74 kg,Right,24,,Scouting Required,£9.8M - £11.5M,20,20,"1,674",167.67,6.85,11,0.59,38,21,55%,2.04,1.13,0,0,-,18,7.64,4,0.24,0,-,9,0.48,315,16.94,263,14.14,83%,7,0,-,17,0.91,18,228.2km,187,10.05,54,2.9,29%,0,29,1.56,73%,36,4,0,11,0.59,3,-,-,-,-,-,-,-,-,-,-,-,1
,Álvaro Djaló,"M (L), AM (RL)",A. Bilbao,,Spain (First Division),-,"£6,500 p/w",30/6/2029,ESP,GNB,-,176 cm,67 kg,Right Only,25,,Scouting Required,£27M - £34M,16 (15),16,"1,536",170.58,6.96,5,0.29,37,12,32%,2.17,0.7,0,0,-,5,4.1,7,1.73,1,0.06,33,1.93,601,35.21,512,30,85%,81,12,18%,74,4.34,18,230.4km,79,4.63,5,0.29,6%,1,38,2.23,84%,29,1,0,36,2.11,16,-,-,-,-,-,-,-,-,-,-,-,3
,Toti,"D (LC), WB (L)",Cádiz,,Spain (First Division),-,"£24,500 p/w",30/6/2028,GNB,POR,-,187 cm,83 kg,Left,26,,Scouting Required,£8.8M - £10.5M,26 (1),26,"2,408",197.63,6.74,0,-,4,2,50%,0.15,0.07,0,0,-,1,1.42,3,0.29,0,-,4,0.15,"1,499",56.03,"1,332",49.78,89%,10,0,-,3,0.11,7,294.2km,208,7.77,154,5.76,74%,9,30,1.12,77%,24,4,0,45,1.68,34,-,-,-,-,-,-,-,-,-,-,-,0
,Gonçalo Inácio,D (C),Newcastle,,England (Premier Division),-,"£115,000 p/w",30/6/2029,POR,,-,188 cm,80 kg,Left,23,Spirited,Evasive,£101M - £124M,28 (1),28,"2,300",233.57,6.76,0,-,20,7,35%,0.78,0.27,0,0,-,0,1.79,2,0.24,1,0.04,8,0.31,"1,801",70.47,"1,673",65.47,93%,3,0,-,8,0.31,4,298.3km,177,6.93,133,5.2,75%,7,21,0.82,62%,20,2,1,53,2.07,20,-,-,-,-,-,-,-,-,-,-,-,1
,Dani,"DM, M (C)",Hellas Verona,,Italy (Serie A),-,"£8,500 p/w",30/6/2028,POR,,-,180 cm,73 kg,Right,24,,Scouting Required,£425K - £4.3M,5 (16),5,662,94.28,6.63,0,-,9,1,11%,1.22,0.14,0,0,-,1,0.49,7,1.86,1,0.14,14,1.9,287,39.02,244,33.17,85%,24,7,20%,4,0.54,2,104.8km,31,4.21,9,1.22,29%,0,13,1.77,68%,13,1,0,13,1.77,11,-,-,-,-,-,-,-,-,-,-,-,0
,João Ferreira,"D (RC), WB (R)",Watford,,England (Premier Division),-,"£36,500 p/w",30/6/2027,POR,,-,185 cm,69 kg,Right,23,,Scouting Required,£14.5M - £23M,27,27,"2,325",175.96,6.54,2,0.08,7,2,29%,0.27,0.08,0,0,-,1,0.65,1,0.04,1,0.04,19,0.74,"1,259",48.74,"1,091",42.23,87%,46,7,15%,25,0.97,27,324.5km,149,5.77,89,3.45,60%,3,71,2.75,81%,38,9,1,73,2.83,21,-,-,-,-,-,-,-,-,-,-,-,0
Wnt,Leonardo Lelo,D/WB/M (L),Arsenal,,England (Premier Division),-,"£22,000 p/w",30/6/2027,POR,,-,175 cm,70 kg,Left Only,24,,Scouting Required,£300K - £3M,1 (2),1,170,56.67,7.3,1,0.53,1,1,100%,0.53,0.53,1,1,100%,0,0,1,0.53,0,-,1,0.53,101,53.47,90,47.65,89%,5,0,-,4,2.12,0,25.4km,6,3.18,6,3.18,100%,0,5,2.65,83%,2,0,0,5,2.65,1,-,-,-,-,-,-,-,-,-,-,-,0
,Danilo Veiga,D/WB (R),FC Metz,,France (Ligue 1 Uber Eats),-,"£11,750 p/w",30/6/2029,POR,BRA,-,182 cm,82 kg,Right,22,,Scouting Required,£6M - £9.2M,23,23,"2,070",180,7.08,2,0.09,16,6,38%,0.7,0.26,0,0,-,0,2.14,1,0.05,1,0.04,18,0.78,"1,078",46.87,972,42.26,90%,44,4,9%,37,1.61,26,293.6km,158,6.87,100,4.35,63%,6,56,2.43,73%,20,1,0,49,2.13,33,-,-,-,-,-,-,-,-,-,-,-,4
,Nuno Mendes,D/WB (L),Paris SG,,France (Ligue 1 Uber Eats),-,"£63,000 p/w",30/6/2028,POR,CPV,-,176 cm,70 kg,Left,22,Resilient,Unflappable,£153M - £183M,14 (11),14,"1,377",186.54,6.93,1,0.07,4,2,50%,0.26,0.13,0,0,-,0,0.22,3,0.72,2,0.13,21,1.37,959,62.68,864,56.47,90%,36,4,4%,41,2.68,4,199.8km,56,3.66,38,2.48,68%,2,41,2.68,82%,14,2,0,60,3.92,7,-,-,-,-,-,-,-,-,-,-,-,1
,Tiago Tomás,"AM (RL), ST (C)",VfL Wolfsburg,,Germany (Bundesliga),-,"£29,500 p/w",30/6/2027,POR,ANG,-,180 cm,78 kg,Right,22,,Scouting Required,£6.2M - £7.8M,14 (9),14,"1,276",115.95,6.76,7,0.49,24,15,63%,1.69,1.06,0,0,-,8,4.16,3,0.23,0,-,7,0.49,284,20.03,238,16.79,84%,9,0,-,19,1.34,33,181.4km,112,7.9,24,1.69,21%,0,18,1.27,82%,13,0,0,14,0.99,7,-,-,-,-,-,-,-,-,-,-,-,1
Inj,Jeremy Sarmiento,AM (RL),Brighton,,England (Premier Division),-,"£31,000 p/w",30/6/2027,ECU,ENG,-,178 cm,72 kg,Right,22,,Scouting Required,£24M - £30M,0 (4),-,84,31.33,7,0,-,2,1,50%,2.14,1.07,0,0,-,1,0.18,0,-,0,-,1,1.07,29,31.07,26,27.86,90%,3,1,33%,4,4.29,0,15.1km,4,4.29,0,0,0%,0,2,2.14,100%,1,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Tiago Santos,D/WB/M/AM (R),LOSC,,France (Ligue 1 Uber Eats),-,"£11,000 p/w",30/6/2029,POR,,-,175 cm,68 kg,Right,22,,Scouting Required,£8.4M - £10.5M,6 (2),6,626,159.67,6.76,0,-,1,0,0%,0.14,0,0,0,-,0,0.24,1,0.2,0,-,6,0.86,263,37.81,214,30.77,81%,33,4,12%,24,3.45,5,88.0km,22,3.16,5,0.72,23%,0,18,2.59,78%,4,0,0,28,4.03,9,-,-,-,-,-,-,-,-,-,-,-,0
Wnt,Youssef Chermiti,ST (C),Everton,,England (Premier Division),-,"£27,000 p/w",30/6/2027,POR,TUN,-,192 cm,84 kg,Unknown,20,,Scouting Required,Unknown,0 (1),-,24,24,6.4,0,-,2,1,50%,-,-,0,0,-,0,0.05,0,-,0,-,0,-,5,-,4,-,80%,1,0,-,0,-,0,3.5km,2,-,1,-,50%,0,-,-,-,1,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
Inj,Rodrigo Gomes,"WB/M (R), AM (RL)",Ipswich,,England (Premier Division),-,"£25,000 p/w",30/6/2028,POR,,-,175 cm,67 kg,Right,21,,Scouting Required,£23M - £29M,26,26,"2,145",166.14,7.19,3,0.13,33,12,36%,1.38,0.5,0,0,-,15,2.68,6,0.31,5,0.21,32,1.34,879,36.88,716,30.04,81%,76,13,17%,86,3.61,32,288.5km,116,4.87,21,0.88,18%,1,51,2.14,77%,38,0,0,47,1.97,12,-,-,-,-,-,-,-,-,-,-,-,3
,Pedro Malheiro,D/WB/AM (R),Tottenham,,England (Premier Division),-,"£61,000 p/w",30/6/2029,POR,,-,179 cm,69 kg,Right,24,,Scouting Required,£18.5M - £28M,9 (2),9,766,238,6.96,2,0.23,12,7,58%,1.41,0.82,0,0,-,3,1.33,1,0.33,2,0.23,13,1.53,400,47,354,41.59,89%,20,1,5%,16,1.88,8,108.9km,36,4.23,11,1.29,31%,1,29,3.41,73%,10,0,1,15,1.76,5,-,-,-,-,-,-,-,-,-,-,-,1
,Ricardo Velho,GK,FC Metz,,France (Ligue 1 Uber Eats),-,"£3,900 p/w",30/6/2029,POR,,-,188 cm,82 kg,Right,26,,Scouting Required,£210K - £2.1M,22,22,"1,956",178.86,6.4,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,489,22.5,314,14.45,64%,-,-,-,0,-,7,116.1km,-,-,-,-,-,0,2,0.09,50%,1,1,0,0,-,-,31,1.43,4,-974%,25,18,60,-1%,4,2,50%,0
,Fabian Rieder,M/AM (C),Rennes,,France (Ligue 1 Uber Eats),-,"£13,250 p/w",30/6/2027,SUI,,-,179 cm,74 kg,Left,23,,Scouting Required,£22M - £34M,3 (6),3,308,96.5,6.64,0,-,11,4,36%,3.21,1.17,0,0,-,1,1.31,2,1.17,0,-,6,1.75,145,42.37,133,38.86,92%,5,3,60%,4,1.17,2,42.4km,12,3.51,5,1.46,42%,0,3,0.88,50%,7,0,0,4,1.17,0,-,-,-,-,-,-,-,-,-,-,-,0
,Dan Ndoye,"M (R), AM (RL), ST (C)",Bologna,,Italy (Serie A),-,"£17,000 p/w",30/6/2027,SUI,SEN,-,184 cm,79 kg,Right,24,,Scouting Required,£10M - £15M,6 (18),6,937,117.76,6.84,1,0.1,22,10,45%,2.11,0.96,0,0,-,4,3.21,3,0.74,1,0.1,13,1.25,409,39.28,322,30.93,79%,34,6,12%,49,4.71,10,147.9km,64,6.15,37,3.55,58%,0,32,3.07,84%,14,1,0,14,1.34,9,-,-,-,-,-,-,-,-,-,-,-,2
Wnt,Leonidas Stergiou,D (RC),VfB Stuttgart,,Germany (Bundesliga),-,"£3,000 p/w",30/6/2028,SUI,GRE,-,181 cm,75 kg,Right,22,,Scouting Required,£5.8M - £7M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lst,Zeki Amdouni,"AM (LC), ST (C)",Bayer 04,Burnley,Germany (Bundesliga),£11.25M,"£45,000 p/w",30/6/2028,SUI,TUR,-,185 cm,79 kg,Right,24,,Scouting Required,£11.5M,0 (3),-,74,59.5,6.43,0,-,4,2,50%,4.86,2.43,0,0,-,1,0.27,0,-,1,1.22,1,1.22,20,24.32,16,19.46,80%,0,0,-,1,1.22,0,9.8km,4,4.86,3,3.65,75%,0,1,1.22,100%,1,0,0,1,1.22,0,-,-,-,-,-,-,-,-,-,-,-,0
,Samuel Ballet,"AM (RL), ST (C)",Como,,Italy (Serie A),-,"£9,250 p/w",30/6/2027,SUI,,-,183 cm,78 kg,Right,23,,Scouting Required,£425K - £4.2M,5 (15),5,778,90.21,6.69,0,-,6,2,33%,0.69,0.23,0,0,-,5,0.66,2,0.25,0,-,7,0.81,412,47.66,335,38.75,81%,21,2,10%,48,5.55,22,120.7km,41,4.74,13,1.5,32%,1,34,3.93,87%,16,0,0,14,1.62,7,-,-,-,-,-,-,-,-,-,-,-,0
,Aurèle Amenda,D (C),Eintracht Frankfurt,,Germany (Bundesliga),-,"£19,750 p/w",30/6/2029,SUI,CMR,-,197 cm,90 kg,Right Only,21,,Scouting Required,£17M - £22M,9 (17),9,"1,027",127.88,7.16,3,0.26,14,7,50%,1.23,0.61,0,0,-,0,1.24,0,-,1,0.09,7,0.61,908,79.57,828,72.56,91%,3,1,33%,2,0.18,0,142.4km,106,9.29,79,6.92,75%,5,23,2.02,79%,5,3,0,40,3.51,12,-,-,-,-,-,-,-,-,-,-,-,3
,Jordan Ferri,"DM, M (C)",Montpellier,,France (Ligue 1 Uber Eats),-,"£25,500 p/w",30/6/2026,FRA,,-,173 cm,73 kg,Right,32,,Scouting Required,Not for Sale,29,29,"2,394",255.6,6.76,1,0.04,10,2,20%,0.38,0.08,0,0,-,0,0.94,8,0.6,2,0.08,38,1.43,"1,394",52.41,"1,218",45.79,87%,12,4,33%,21,0.79,19,337.1km,83,3.12,30,1.13,36%,2,61,2.29,68%,41,4,3,42,1.58,27,-,-,-,-,-,-,-,-,-,-,-,0
,Anthony Lopes,GK,Sassuolo,,Italy (Serie A),-,"£42,000 p/w",30/6/2027,POR,FRA,-,184 cm,81 kg,Left Only,34,,Scouting Required,Not for Sale,24,24,"2,160",180,6.87,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,468,19.5,289,12.04,62%,-,-,-,0,-,0,149.2km,-,-,-,-,-,0,0,0,0%,0,0,0,1,0.04,-,24,1,9,-451%,20,13,35,-2%,4,0,0%,0
Inj,Romain Thomas,D (C),SM Caen,,France (Ligue 1 Uber Eats),-,"£10,500 p/w",30/6/2025,FRA,,-,193 cm,82 kg,Left,36,,Scouting Required,£12K - £120K,15,15,"1,270",84.67,6.88,0,-,6,2,33%,0.43,0.14,0,0,-,0,0.32,0,-,0,-,2,0.14,784,55.56,734,52.02,94%,2,0,-,1,0.07,1,158.0km,115,8.15,79,5.6,69%,5,30,2.13,100%,9,1,0,22,1.56,13,-,-,-,-,-,-,-,-,-,-,-,0
Lst,Dennis Appiah,"D (RC), WB (R)",ASSE,,France (Ligue 1 Uber Eats),£8.5K,"£10,750 p/w",30/6/2025,FRA,GHA,-,179 cm,68 kg,Right,32,,Scouting Required,£9K,0 (2),-,23,11.5,-,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,11,-,10,-,91%,0,0,-,0,-,0,1.4km,1,-,0,-,0%,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,0
,Nampalys Mendy,"DM, M (C)",RC Lens,,France (Ligue 1 Uber Eats),-,"£13,250 p/w",30/6/2025,SEN,FRA,-,168 cm,67 kg,Right,32,,Scouting Required,£65K - £650K,16 (13),16,"1,420",175.59,6.76,0,-,8,3,38%,0.51,0.19,0,0,-,1,1.3,4,0.63,1,0.06,20,1.27,795,50.39,699,44.3,88%,5,0,-,11,0.7,6,207.5km,38,2.41,13,0.82,34%,2,38,2.41,79%,23,2,0,46,2.92,14,-,-,-,-,-,-,-,-,-,-,-,0
,Alphonse Areola,GK,West Ham,,England (Premier Division),-,"£120,000 p/w",30/6/2027,FRA,PHI,-,195 cm,94 kg,Right,31,,Scouting Required,Not for Sale,28,28,"2,520",180,6.84,0,-,1,0,0%,0.04,0,0,0,-,0,0.05,0,-,0,-,0,-,994,35.5,923,32.96,93%,-,-,-,0,-,0,180.5km,-,-,-,-,-,0,2,0.07,100%,0,0,0,0,-,-,37,1.32,7,-503%,36,14,41,-1%,2,2,100%,2
,Maxime Dupé,GK,OGC Nice,,France (Ligue 1 Uber Eats),-,"£10,000 p/w",30/6/2026,FRA,,-,188 cm,88 kg,Right,31,,Scouting Required,£180K - £1.8M,6,6,540,270,7.15,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,157,26.17,98,16.33,62%,-,-,-,0,-,2,35.4km,-,-,-,-,-,0,-,-,-,0,0,0,0,-,-,3,0.5,4,-550%,3,2,3,-27%,0,0,-,0
,Benjamin André,"DM, M (C)",LOSC,,France (Ligue 1 Uber Eats),-,"£31,000 p/w",30/6/2026,FRA,,-,180 cm,76 kg,Right,34,,Scouting Required,£1.9M - £4M,18,18,"1,443",156.41,7.01,1,0.06,6,1,17%,0.37,0.06,0,0,-,0,0.47,6,1.51,2,0.12,21,1.31,846,52.77,763,47.59,90%,4,0,-,9,0.56,15,206.7km,55,3.43,25,1.56,45%,4,26,1.62,87%,27,3,0,26,1.62,17,-,-,-,-,-,-,-,-,-,-,-,0
,Loïc Nego,D/WB/M/AM (R),Havre AC,,France (Ligue 1 Uber Eats),-,"£7,250 p/w",30/6/2025,HUN,GLP,-,181 cm,71 kg,Right,34,,Scouting Required,£500 - £7K,0 (3),-,54,18,7.05,0,-,1,0,0%,-,-,0,0,-,0,0.1,1,-,1,-,2,-,22,-,18,-,82%,4,2,33%,2,-,0,8.1km,5,-,2,-,40%,0,2,-,100%,1,0,0,1,-,1,-,-,-,-,-,-,-,-,-,-,-,0
Inj,Mickaël Le Bihan,"AM (C), ST (C)",SM Caen,,France (Ligue 1 Uber Eats),£4K,"£5,500 p/w",30/6/2025,FRA,,-,185 cm,85 kg,Right,34,,Scouting Required,£4K,0 (6),-,107,17.83,6.57,1,0.84,4,3,75%,3.36,2.52,0,0,-,0,0.28,0,-,0,-,0,-,26,21.87,20,16.82,77%,0,0,-,0,-,1,15.1km,15,12.62,4,3.36,27%,0,-,-,-,0,0,0,2,1.68,1,-,-,-,-,-,-,-,-,-,-,-,0
,Idrissa Gueye,"DM, M (C)",Everton,,England (Premier Division),-,"£130,000 p/w",30/6/2025,SEN,,-,174 cm,66 kg,Right,35,,Scouting Required,£85K - £850K,27,27,"2,001",74.11,6.84,0,-,6,0,0%,0.27,0,0,0,-,0,0.56,5,0.22,5,0.22,21,0.94,"1,165",52.4,"1,079",48.53,93%,6,1,16%,15,0.67,19,293.7km,56,2.52,26,1.17,46%,0,45,2.02,73%,38,5,0,36,1.62,15,-,-,-,-,-,-,-,-,-,-,-,0
,Geoffrey Kondogbia,"DM, M (C)",OM,,France (Ligue 1 Uber Eats),-,"£105,000 p/w",30/6/2027,CTA,FRA,-,188 cm,80 kg,Left Only,32,,Scouting Required,Not for Sale,27 (1),27,"2,321",257.33,6.89,3,0.12,25,8,32%,0.97,0.31,0,0,-,6,3.27,7,0.59,2,0.08,25,0.97,"1,548",60.03,"1,365",52.93,88%,7,3,42%,18,0.7,20,339.4km,100,3.88,61,2.37,61%,1,58,2.25,78%,45,6,0,40,1.55,15,-,-,-,-,-,-,-,-,-,-,-,0
,Lucas Digne,D/WB (L),Aston Villa,,England (Premier Division),-,"£130,000 p/w",30/6/2026,FRA,,-,178 cm,74 kg,Left Only,31,,Scouting Required,£16.5M - £21M,2 (3),2,131,111.67,6.32,0,-,0,-,-,-,-,0,0,-,0,0,1,1.08,0,-,7,4.81,84,57.71,76,52.21,90%,3,0,-,1,0.69,3,15.3km,6,4.12,5,3.44,83%,0,3,2.06,60%,1,0,1,1,0.69,0,-,-,-,-,-,-,-,-,-,-,-,0
,Benjamin Lecomte,GK,Montpellier,,France (Ligue 1 Uber Eats),-,"£32,500 p/w",30/6/2027,FRA,,-,187 cm,77 kg,Left Only,33,,Scouting Required,Not for Sale,32,32,"2,714",225.9,6.84,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,865,28.68,632,20.96,73%,-,-,-,0,-,9,187.8km,-,-,-,-,-,0,2,0.07,40%,0,0,0,0,-,-,36,1.19,9,-822%,24,14,78,-2%,5,2,40%,4
,Jonathan Clauss,D/WB/M (R),OGC Nice,,France (Ligue 1 Uber Eats),-,"£65,000 p/w",30/6/2027,FRA,,-,178 cm,67 kg,Right,32,,Scouting Required,Not for Sale,28,28,"2,520",270,7.19,0,-,8,1,13%,0.29,0.04,0,0,-,6,0.78,11,2.69,7,0.25,73,2.61,"1,279",45.68,"1,102",39.36,86%,217,32,12%,85,3.04,38,366.4km,85,3.04,31,1.11,36%,5,97,3.46,82%,55,9,0,83,2.96,25,-,-,-,-,-,-,-,-,-,-,-,2
